Wave direction
0.00000e+00
    Frequency      Surge          Sway           Heave          Roll           Pitch          Yaw
4.60000000e-02 2.36630831e-01 1.64518538e+01 1.00444853e+00 3.77604734e-03 3.34181753e-05 4.24445378e-04
4.80000000e-02 2.29088314e-01 1.57604508e+01 1.00485426e+00 3.92942888e-03 3.57552516e-05 4.07677677e-04
4.90000000e-02 2.26417614e-01 1.54358435e+01 1.00511668e+00 4.01710798e-03 3.67533412e-05 3.99729869e-04
5.10000000e-02 2.18956700e-01 1.48248188e+01 1.00555519e+00 4.18910940e-03 3.96042755e-05 3.97040875e-04
5.20000000e-02 2.16144709e-01 1.45366790e+01 1.00585514e+00 4.27000388e-03 4.05044055e-05 3.85789991e-04
5.40000000e-02 2.10027786e-01 1.39926067e+01 1.00640929e+00 4.45940929e-03 4.31654614e-05 3.85082550e-04
5.60000000e-02 2.04604318e-01 1.34869677e+01 1.00691497e+00 4.61580623e-03 4.55999251e-05 3.71876655e-04
5.80000000e-02 2.13378537e-01 1.30119009e+01 1.00667777e+00 4.37572366e-03 4.60475032e-05 1.59697336e-04
6.00000000e-02 1.90806738e-01 1.25763889e+01 1.00890775e+00 5.02985232e-03 4.87063372e-05 3.45412322e-04
6.20000000e-02 1.86677136e-01 1.21650811e+01 1.00864578e+00 5.12845653e-03 5.52030951e-05 3.64887564e-04
6.50000000e-02 1.81255823e-01 1.15946019e+01 1.00986632e+00 5.39471486e-03 5.88321058e-05 3.39289208e-04
6.80000000e-02 1.74350701e-01 1.10744117e+01 1.01089653e+00 5.65084914e-03 6.44301389e-05 3.35135328e-04
7.00000000e-02 1.67624867e-01 1.07525339e+01 1.01160438e+00 5.82908843e-03 7.23404673e-05 3.53674391e-04
7.40000000e-02 1.65425493e-01 1.01570443e+01 1.01444509e+00 6.03896490e-03 8.62765717e-05 2.41607204e-04
7.70000000e-02 2.14363297e-01 9.75518422e+00 1.01863554e+00 6.96439430e-03 6.00599848e-05 2.94542675e-04
8.10000000e-02 1.58540441e-01 9.26241047e+00 1.01638048e+00 7.00738886e-03 7.13603059e-05 3.25472798e-04
8.50000000e-02 1.49032122e-01 8.81481552e+00 1.01809724e+00 7.30755422e-03 8.17240839e-05 3.16538010e-04
9.00000000e-02 1.41476674e-01 8.31071818e+00 1.02072519e+00 7.78514209e-03 9.02404499e-05 3.08257799e-04
9.50000000e-02 1.34546951e-01 7.85908625e+00 1.02338502e+00 8.26199985e-03 9.94451278e-05 3.05529573e-04
1.01000000e-01 1.27344682e-01 7.37516069e+00 1.02687368e+00 8.85368191e-03 1.09293433e-04 2.99645088e-04
1.08000000e-01 1.19696603e-01 6.87756123e+00 1.03113475e+00 9.55078040e-03 1.23236024e-04 2.98010735e-04
1.15000000e-01 1.12633157e-01 6.43954967e+00 1.03571998e+00 1.03020593e-02 1.34039098e-04 2.98983254e-04
1.24000000e-01 1.04789608e-01 5.94759810e+00 1.04209641e+00 1.12945322e-02 1.50670460e-04 3.01545276e-04
1.35000000e-01 9.56670601e-02 5.43379551e+00 1.05033688e+00 1.25858495e-02 1.67284796e-04 3.11137329e-04
1.47000000e-01 8.64800687e-02 4.95939061e+00 1.05997125e+00 1.41085966e-02 1.83006935e-04 3.29780860e-04
1.61000000e-01 7.63268231e-02 4.49401847e+00 1.07195860e+00 1.60969780e-02 1.95836577e-04 3.65614231e-04
1.79000000e-01 6.43424892e-02 4.00197435e+00 1.08864895e+00 1.90921081e-02 2.05315673e-04 4.37448942e-04
2.00000000e-01 5.25710826e-02 3.54167560e+00 1.11041925e+00 2.35608937e-02 2.14227765e-04 5.72472170e-04
2.28000000e-01 4.28792316e-02 3.07028743e+00 1.14325973e+00 3.25454072e-02 2.52522793e-04 8.94209815e-04
2.65000000e-01 4.27381051e-02 2.65517641e+00 1.19089083e+00 5.94638286e-02 3.88764798e-04 1.96996761e-03
3.15000000e-01 4.58790287e-02 8.70060968e-01 1.23813639e+00 5.95252683e-01 6.47844774e-04 2.55782877e-02
3.88000000e-01 3.96306908e-02 1.32482656e+00 1.17879387e+00 3.49916794e-02 9.55263360e-04 2.25571680e-03
